Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            312.643643                          312.643643
Epoch1                              0.000000                          312.643643
Epoch2                              0.000000                          312.643643
Epoch3                              0.000000                          312.643643
Epoch4                              0.000000                          312.643643
Epoch5                              0.000000                          312.643643
Epoch6                              0.000000                          312.643643
Epoch7                              0.000000                          312.643643
Epoch8                              0.000000                          312.643643
Epoch9                              0.000000                          312.643643
Epoch10                             0.000000                          312.643643
Epoch11                             0.000000                          312.643643
Epoch12                             0.000000                          312.643643
Epoch13                             0.000000                          312.643643
Epoch14                             0.000000                          312.643643
Epoch15                             0.000000                          312.643643
Epoch16                             0.000000                          312.643643
Epoch17                             0.000000                          312.643643
Epoch18                             0.000000                          312.643643
Epoch19                             0.000000                          312.643643
Epoch20                             0.000000                          312.643643
Epoch21                             0.000000                          312.643643
Epoch22                             0.000000                          312.643643
Epoch23                             0.000000                          312.643643
Epoch24                             0.000000                          312.643643
Epoch25                             0.000000                          312.643643
Epoch26                             0.000000                          312.643643
Epoch27                             0.000000                          312.643643
Epoch28                             0.000000                          312.643643
Epoch29                             0.000000                          312.643643
