Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.390024                            0.390024
Epoch6                              0.000000                            0.390024
Epoch7                              0.000000                            0.390024
Epoch8                              0.000000                            0.390024
Epoch9                              0.000000                            0.390024
Epoch10                             0.000000                            0.390024
Epoch11                             0.000000                            0.390024
Epoch12                             0.000000                            0.390024
Epoch13                             0.000000                            0.390024
Epoch14                             0.000000                            0.390024
Epoch15                             0.000000                            0.390024
