Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                             39.360197                           39.360197
Epoch2                              0.000000                           39.360197
Epoch3                              0.000000                           39.360197
Epoch4                              0.000000                           39.360197
Epoch5                              0.000000                           39.360197
Epoch6                              0.000000                           39.360197
Epoch7                              0.000000                           39.360197
Epoch8                              0.000000                           39.360197
Epoch9                              0.000000                           39.360197
Epoch10                             0.000000                           39.360197
Epoch11                             0.000000                           39.360197
Epoch12                             0.000000                           39.360197
Epoch13                             0.000000                           39.360197
Epoch14                             0.000000                           39.360197
Epoch15                             0.000000                           39.360197
Epoch16                             0.000000                           39.360197
Epoch17                             0.000000                           39.360197
