Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                            661.052381                          661.052381
Epoch3                              0.000000                          661.052381
Epoch4                              0.000000                          661.052381
Epoch5                              0.000000                          661.052381
Epoch6                              0.000000                          661.052381
Epoch7                              0.000000                          661.052381
Epoch8                              0.000000                          661.052381
Epoch9                              0.000000                          661.052381
Epoch10                             0.000000                          661.052381
Epoch11                             0.000000                          661.052381
Epoch12                             0.000000                          661.052381
Epoch13                             0.000000                          661.052381
Epoch14                             0.000000                          661.052381
Epoch15                             0.000000                          661.052381
Epoch16                             0.000000                          661.052381
Epoch17                             0.000000                          661.052381
Epoch18                             0.000000                          661.052381
Epoch19                             0.000000                          661.052381
Epoch20                             0.000000                          661.052381
Epoch21                             0.000000                          661.052381
Epoch22                             0.000000                          661.052381
Epoch23                             0.000000                          661.052381
Epoch24                             0.000000                          661.052381
Epoch25                             0.000000                          661.052381
Epoch26                             0.000000                          661.052381
Epoch27                             0.000000                          661.052381
Epoch28                             0.000000                          661.052381
