Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.022890                            0.022890
Epoch2                              0.000000                            0.022890
Epoch3                              0.013814                            0.036704
Epoch4                              0.000000                            0.036704
Epoch5                              0.000000                            0.036704
Epoch6                              0.000000                            0.036704
Epoch7                              0.000000                            0.036704
Epoch8                              0.000000                            0.036704
Epoch9                              0.000000                            0.036704
Epoch10                             0.000000                            0.036704
Epoch11                             0.000000                            0.036704
Epoch12                             0.000000                            0.036704
Epoch13                             0.000000                            0.036704
Epoch14                             0.000000                            0.036704
Epoch15                             0.000000                            0.036704
Epoch16                             0.000000                            0.036704
Epoch17                             0.000000                            0.036704
Epoch18                             0.000000                            0.036704
Epoch19                             0.000000                            0.036704
Epoch20                             0.000000                            0.036704
Epoch21                             0.000000                            0.036704
Epoch22                             0.000000                            0.036704
Epoch23                             0.000000                            0.036704
Epoch24                             0.000000                            0.036704
Epoch25                             0.000000                            0.036704
Epoch26                             0.000000                            0.036704
Epoch27                             0.000000                            0.036704
Epoch28                             0.000000                            0.036704
Epoch29                             0.000000                            0.036704
Epoch30                             0.000000                            0.036704
