Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.029403                            0.029403
Epoch7                              0.007792                            0.037194
Epoch8                              0.000000                            0.037194
Epoch9                              0.000000                            0.037194
Epoch10                             0.000000                            0.037194
Epoch11                             0.000000                            0.037194
Epoch12                             0.000000                            0.037194
Epoch13                             0.000000                            0.037194
Epoch14                             0.000000                            0.037194
Epoch15                             0.000000                            0.037194
