Epoch#                               Rewards                   Total(Cumulative)
Epoch0                             14.744635                           14.744635
Epoch1                              0.000000                           14.744635
Epoch2                              0.000000                           14.744635
Epoch3                              0.021017                           14.765652
Epoch4                              0.000000                           14.765652
Epoch5                              0.000000                           14.765652
Epoch6                              0.000000                           14.765652
Epoch7                              0.000000                           14.765652
Epoch8                              0.000000                           14.765652
Epoch9                              0.000000                           14.765652
Epoch10                             0.000000                           14.765652
Epoch11                             0.000000                           14.765652
Epoch12                             0.000000                           14.765652
Epoch13                             0.000000                           14.765652
Epoch14                             0.000000                           14.765652
Epoch15                             0.000000                           14.765652
Epoch16                             0.000000                           14.765652
Epoch17                             0.000000                           14.765652
Epoch18                             0.000000                           14.765652
Epoch19                             0.000000                           14.765652
Epoch20                             0.000000                           14.765652
Epoch21                             0.000000                           14.765652
Epoch22                             0.000000                           14.765652
Epoch23                             0.000000                           14.765652
Epoch24                             0.000000                           14.765652
Epoch25                             0.000000                           14.765652
Epoch26                             0.000000                           14.765652
Epoch27                             0.000000                           14.765652
Epoch28                             0.000000                           14.765652
Epoch29                             0.000000                           14.765652
Epoch30                             0.000000                           14.765652
Epoch31                             0.000000                           14.765652
