Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000703                            0.000703
Epoch3                              0.000000                            0.000703
Epoch4                              0.000000                            0.000703
Epoch5                              0.000000                            0.000703
Epoch6                              0.000000                            0.000703
Epoch7                              0.000000                            0.000703
Epoch8                              0.000000                            0.000703
Epoch9                              0.000000                            0.000703
Epoch10                             0.000000                            0.000703
Epoch11                             0.000000                            0.000703
Epoch12                             0.000000                            0.000703
Epoch13                             0.000000                            0.000703
Epoch14                             0.000000                            0.000703
Epoch15                             0.000000                            0.000703
