Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.024020                            0.024020
Epoch9                              0.000000                            0.024020
Epoch10                             0.000000                            0.024020
Epoch11                             0.045714                            0.069734
Epoch12                             0.000000                            0.069734
Epoch13                             0.000000                            0.069734
Epoch14                             0.000000                            0.069734
Epoch15                             0.000000                            0.069734
Epoch16                             0.000000                            0.069734
Epoch17                             0.000000                            0.069734
Epoch18                             0.000000                            0.069734
Epoch19                             0.000000                            0.069734
Epoch20                             0.000000                            0.069734
Epoch21                             0.000000                            0.069734
Epoch22                             0.000000                            0.069734
Epoch23                             0.000000                            0.069734
Epoch24                             0.000000                            0.069734
Epoch25                             0.000000                            0.069734
Epoch26                             0.000000                            0.069734
Epoch27                             0.000000                            0.069734
Epoch28                             0.000000                            0.069734
