Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              5.198478                            5.198478
Epoch7                              0.000000                            5.198478
Epoch8                              0.000000                            5.198478
Epoch9                              0.000000                            5.198478
Epoch10                             0.000000                            5.198478
Epoch11                             0.000000                            5.198478
Epoch12                             0.000000                            5.198478
Epoch13                             0.000000                            5.198478
Epoch14                             0.000000                            5.198478
Epoch15                             0.000000                            5.198478
Epoch16                             0.000000                            5.198478
Epoch17                             0.000000                            5.198478
Epoch18                             0.000000                            5.198478
Epoch19                             0.000000                            5.198478
Epoch20                             0.000000                            5.198478
Epoch21                             0.000000                            5.198478
Epoch22                             0.000000                            5.198478
Epoch23                             0.000000                            5.198478
Epoch24                             0.000000                            5.198478
Epoch25                             0.000000                            5.198478
Epoch26                             0.000000                            5.198478
Epoch27                             0.000000                            5.198478
Epoch28                             0.000000                            5.198478
