Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              1.357386                            1.357386
Epoch2                              0.454564                            1.811950
Epoch3                              0.000000                            1.811950
Epoch4                              0.372758                            2.184708
Epoch5                              0.000000                            2.184708
Epoch6                              0.000000                            2.184708
Epoch7                              0.000000                            2.184708
Epoch8                              0.000000                            2.184708
Epoch9                              0.000000                            2.184708
Epoch10                             0.000000                            2.184708
Epoch11                             0.000000                            2.184708
Epoch12                             0.000000                            2.184708
Epoch13                             0.000000                            2.184708
Epoch14                             0.000000                            2.184708
Epoch15                             0.000000                            2.184708
Epoch16                             0.000000                            2.184708
Epoch17                             0.000000                            2.184708
Epoch18                             0.000000                            2.184708
Epoch19                             0.000000                            2.184708
Epoch20                             0.000000                            2.184708
Epoch21                             0.000000                            2.184708
Epoch22                             0.000000                            2.184708
Epoch23                             0.000000                            2.184708
Epoch24                             0.000000                            2.184708
Epoch25                             0.000000                            2.184708
Epoch26                             0.000000                            2.184708
Epoch27                             0.000000                            2.184708
Epoch28                             0.000000                            2.184708
Epoch29                             0.000000                            2.184708
