Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.025108                            0.025108
Epoch2                             18.061575                           18.086684
Epoch3                              0.906840                           18.993523
Epoch4                              0.000000                           18.993523
Epoch5                              0.000000                           18.993523
Epoch6                              0.000000                           18.993523
Epoch7                              0.000000                           18.993523
Epoch8                              0.000000                           18.993523
Epoch9                              0.000000                           18.993523
Epoch10                             0.000000                           18.993523
Epoch11                             0.000000                           18.993523
Epoch12                             0.000000                           18.993523
Epoch13                             0.000000                           18.993523
Epoch14                             0.000000                           18.993523
Epoch15                             0.000000                           18.993523
Epoch16                             0.000000                           18.993523
Epoch17                             0.000000                           18.993523
Epoch18                             0.000000                           18.993523
Epoch19                             0.000000                           18.993523
Epoch20                             0.000000                           18.993523
Epoch21                             0.000000                           18.993523
Epoch22                             0.000000                           18.993523
Epoch23                             0.000000                           18.993523
Epoch24                             0.000000                           18.993523
Epoch25                             0.000000                           18.993523
Epoch26                             0.000000                           18.993523
Epoch27                             0.000000                           18.993523
Epoch28                             0.000000                           18.993523
Epoch29                             0.000000                           18.993523
Epoch30                             0.000000                           18.993523
Epoch31                             0.000000                           18.993523
