Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.008304                            0.008304
Epoch2                              0.000000                            0.008304
Epoch3                              0.000000                            0.008304
Epoch4                              0.000000                            0.008304
Epoch5                              0.000000                            0.008304
Epoch6                              0.000000                            0.008304
Epoch7                              0.000000                            0.008304
Epoch8                              0.000000                            0.008304
Epoch9                              0.000000                            0.008304
Epoch10                             0.000000                            0.008304
Epoch11                             0.000000                            0.008304
Epoch12                             0.000000                            0.008304
Epoch13                             0.000000                            0.008304
Epoch14                             0.000000                            0.008304
Epoch15                             0.000000                            0.008304
Epoch16                             0.000000                            0.008304
