Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.785270                          310.785270
Epoch1                              0.000000                          310.785270
Epoch2                              0.000000                          310.785270
Epoch3                              0.000000                          310.785270
Epoch4                              0.000000                          310.785270
Epoch5                              0.000000                          310.785270
Epoch6                              0.000000                          310.785270
Epoch7                              0.000000                          310.785270
Epoch8                              0.000000                          310.785270
Epoch9                              0.000000                          310.785270
Epoch10                             0.000000                          310.785270
Epoch11                             0.000000                          310.785270
Epoch12                             0.000000                          310.785270
Epoch13                             0.000000                          310.785270
Epoch14                             0.000000                          310.785270
Epoch15                             0.000000                          310.785270
Epoch16                             0.000000                          310.785270
Epoch17                             0.000000                          310.785270
Epoch18                             0.000000                          310.785270
Epoch19                             0.000000                          310.785270
Epoch20                             0.000000                          310.785270
Epoch21                             0.000000                          310.785270
Epoch22                             0.000000                          310.785270
Epoch23                             0.000000                          310.785270
Epoch24                             0.000000                          310.785270
Epoch25                             0.000000                          310.785270
Epoch26                             0.000000                          310.785270
Epoch27                             0.000000                          310.785270
Epoch28                             0.000000                          310.785270
