Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.756268                          310.756268
Epoch1                              0.000000                          310.756268
Epoch2                              0.000000                          310.756268
Epoch3                              0.000000                          310.756268
Epoch4                              0.000000                          310.756268
Epoch5                              0.000000                          310.756268
Epoch6                              0.000000                          310.756268
Epoch7                              0.000000                          310.756268
Epoch8                              0.000000                          310.756268
Epoch9                              0.000000                          310.756268
Epoch10                             0.000000                          310.756268
Epoch11                             0.000000                          310.756268
Epoch12                             0.000000                          310.756268
Epoch13                             0.000000                          310.756268
Epoch14                             0.000000                          310.756268
Epoch15                             0.000000                          310.756268
Epoch16                             0.000000                          310.756268
Epoch17                             0.000000                          310.756268
Epoch18                             0.000000                          310.756268
Epoch19                             0.000000                          310.756268
Epoch20                             0.000000                          310.756268
Epoch21                             0.000000                          310.756268
Epoch22                             0.000000                          310.756268
Epoch23                             0.000000                          310.756268
Epoch24                             0.000000                          310.756268
Epoch25                             0.000000                          310.756268
Epoch26                             0.000000                          310.756268
Epoch27                             0.000000                          310.756268
