Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            950.387750                          950.387750
Epoch1                              0.000000                          950.387750
Epoch2                              0.000000                          950.387750
Epoch3                              0.000000                          950.387750
Epoch4                              0.000000                          950.387750
Epoch5                              0.000000                          950.387750
Epoch6                              0.000000                          950.387750
Epoch7                              0.000000                          950.387750
Epoch8                              0.000000                          950.387750
Epoch9                              0.000000                          950.387750
Epoch10                             0.000000                          950.387750
Epoch11                             0.000000                          950.387750
Epoch12                             0.000000                          950.387750
Epoch13                             0.000000                          950.387750
Epoch14                             0.000000                          950.387750
Epoch15                             0.000000                          950.387750
Epoch16                             0.000000                          950.387750
