Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.008354                            0.008354
Epoch2                              0.000000                            0.008354
Epoch3                              0.000000                            0.008354
Epoch4                              0.000000                            0.008354
Epoch5                              0.000000                            0.008354
Epoch6                              0.000000                            0.008354
Epoch7                              0.000000                            0.008354
Epoch8                              0.000000                            0.008354
Epoch9                              0.000000                            0.008354
Epoch10                             0.000000                            0.008354
Epoch11                             0.000000                            0.008354
Epoch12                             0.000000                            0.008354
Epoch13                             0.000000                            0.008354
Epoch14                             0.000000                            0.008354
Epoch15                             0.000000                            0.008354
Epoch16                             0.000000                            0.008354
Epoch17                             0.000000                            0.008354
Epoch18                             0.000000                            0.008354
Epoch19                             0.000000                            0.008354
Epoch20                             0.000000                            0.008354
Epoch21                             0.000000                            0.008354
Epoch22                             0.000000                            0.008354
Epoch23                             0.000000                            0.008354
Epoch24                             0.000000                            0.008354
Epoch25                             0.000000                            0.008354
Epoch26                             0.000000                            0.008354
Epoch27                             0.000000                            0.008354
Epoch28                             0.000000                            0.008354
