Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                            113.717060                          113.717060
Epoch4                              0.000000                          113.717060
Epoch5                              0.000000                          113.717060
Epoch6                              0.000000                          113.717060
Epoch7                              0.000000                          113.717060
Epoch8                              0.000000                          113.717060
Epoch9                              0.000000                          113.717060
Epoch10                             0.000000                          113.717060
Epoch11                             0.000000                          113.717060
Epoch12                             0.000000                          113.717060
Epoch13                             0.000000                          113.717060
Epoch14                             0.000000                          113.717060
Epoch15                             0.000000                          113.717060
Epoch16                             0.000000                          113.717060
Epoch17                             0.000000                          113.717060
Epoch18                             0.000000                          113.717060
Epoch19                             0.000000                          113.717060
Epoch20                             0.000000                          113.717060
Epoch21                             0.000000                          113.717060
Epoch22                             0.000000                          113.717060
Epoch23                             0.000000                          113.717060
Epoch24                             0.000000                          113.717060
Epoch25                             0.000000                          113.717060
Epoch26                             0.000000                          113.717060
Epoch27                             0.000000                          113.717060
Epoch28                             0.000000                          113.717060
Epoch29                             0.000000                          113.717060
Epoch30                             0.000000                          113.717060
Epoch31                             0.000000                          113.717060
