Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            472.245439                          472.245439
Epoch1                              0.000000                          472.245439
Epoch2                              0.000000                          472.245439
Epoch3                              0.000000                          472.245439
Epoch4                              0.000000                          472.245439
Epoch5                              0.000000                          472.245439
Epoch6                              0.000000                          472.245439
Epoch7                              0.000000                          472.245439
Epoch8                              0.000000                          472.245439
Epoch9                              0.000000                          472.245439
Epoch10                             0.000000                          472.245439
Epoch11                             0.000000                          472.245439
Epoch12                             0.000000                          472.245439
Epoch13                             0.000000                          472.245439
Epoch14                             0.000000                          472.245439
Epoch15                             0.000000                          472.245439
Epoch16                             0.000000                          472.245439
Epoch17                             0.000000                          472.245439
Epoch18                             0.000000                          472.245439
Epoch19                             0.000000                          472.245439
Epoch20                             0.000000                          472.245439
Epoch21                             0.000000                          472.245439
Epoch22                             0.000000                          472.245439
Epoch23                             0.000000                          472.245439
Epoch24                             0.000000                          472.245439
Epoch25                             0.000000                          472.245439
Epoch26                             0.000000                          472.245439
Epoch27                             0.000000                          472.245439
