Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.960541                            0.960541
Epoch9                              0.000000                            0.960541
Epoch10                             0.000000                            0.960541
Epoch11                             0.000000                            0.960541
Epoch12                             0.000000                            0.960541
Epoch13                             0.000000                            0.960541
Epoch14                             0.000000                            0.960541
Epoch15                             0.000000                            0.960541
Epoch16                             0.000000                            0.960541
Epoch17                             0.000000                            0.960541
