Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            406.838202                          406.838202
Epoch1                              0.000000                          406.838202
Epoch2                              0.000000                          406.838202
Epoch3                              0.000000                          406.838202
Epoch4                              0.000000                          406.838202
Epoch5                              0.000000                          406.838202
Epoch6                              0.000000                          406.838202
Epoch7                              0.000000                          406.838202
Epoch8                              0.000000                          406.838202
Epoch9                              0.000000                          406.838202
Epoch10                             0.000000                          406.838202
Epoch11                             0.000000                          406.838202
Epoch12                             0.000000                          406.838202
Epoch13                             0.000000                          406.838202
Epoch14                             0.000000                          406.838202
Epoch15                             0.000000                          406.838202
Epoch16                             0.000000                          406.838202
Epoch17                             0.000000                          406.838202
Epoch18                             0.000000                          406.838202
Epoch19                             0.000000                          406.838202
Epoch20                             0.000000                          406.838202
Epoch21                             0.000000                          406.838202
Epoch22                             0.000000                          406.838202
Epoch23                             0.000000                          406.838202
Epoch24                             0.000000                          406.838202
Epoch25                             0.000000                          406.838202
Epoch26                             0.000000                          406.838202
Epoch27                             0.000000                          406.838202
Epoch28                             0.000000                          406.838202
