Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                             28.934057                           28.934057
Epoch3                              0.000000                           28.934057
Epoch4                              0.000000                           28.934057
Epoch5                              0.000000                           28.934057
Epoch6                              0.000000                           28.934057
Epoch7                              0.000000                           28.934057
Epoch8                              0.000000                           28.934057
Epoch9                              0.000000                           28.934057
Epoch10                             0.000000                           28.934057
Epoch11                             0.000000                           28.934057
Epoch12                             0.000000                           28.934057
Epoch13                             0.000000                           28.934057
Epoch14                             0.000000                           28.934057
Epoch15                             0.000000                           28.934057
Epoch16                             0.000000                           28.934057
Epoch17                             0.000000                           28.934057
Epoch18                             0.000000                           28.934057
Epoch19                             0.000000                           28.934057
Epoch20                             0.000000                           28.934057
Epoch21                             0.000000                           28.934057
Epoch22                             0.000000                           28.934057
Epoch23                             0.000000                           28.934057
Epoch24                             0.000000                           28.934057
Epoch25                             0.000000                           28.934057
Epoch26                             0.000000                           28.934057
Epoch27                             0.000000                           28.934057
