Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            325.039917                          325.039917
Epoch1                              0.000000                          325.039917
Epoch2                              0.000000                          325.039917
Epoch3                              0.000000                          325.039917
Epoch4                              0.000000                          325.039917
Epoch5                              0.000000                          325.039917
Epoch6                              0.000000                          325.039917
Epoch7                              0.000000                          325.039917
Epoch8                              0.000000                          325.039917
Epoch9                              0.000000                          325.039917
Epoch10                             0.000000                          325.039917
Epoch11                             0.000000                          325.039917
Epoch12                             0.000000                          325.039917
Epoch13                             0.000000                          325.039917
Epoch14                             0.000000                          325.039917
Epoch15                             0.000000                          325.039917
Epoch16                             0.000000                          325.039917
Epoch17                             0.000000                          325.039917
Epoch18                             0.000000                          325.039917
Epoch19                             0.000000                          325.039917
Epoch20                             0.000000                          325.039917
Epoch21                             0.000000                          325.039917
Epoch22                             0.000000                          325.039917
Epoch23                             0.000000                          325.039917
Epoch24                             0.000000                          325.039917
Epoch25                             0.000000                          325.039917
Epoch26                             0.000000                          325.039917
Epoch27                             0.000000                          325.039917
Epoch28                             0.000000                          325.039917
Epoch29                             0.000000                          325.039917
Epoch30                             0.000000                          325.039917
Epoch31                             0.000000                          325.039917
