Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.805412                          310.805412
Epoch1                              0.000000                          310.805412
Epoch2                              0.000000                          310.805412
Epoch3                              0.000000                          310.805412
Epoch4                              0.000000                          310.805412
Epoch5                              0.000000                          310.805412
Epoch6                              0.000000                          310.805412
Epoch7                              0.000000                          310.805412
Epoch8                              0.000000                          310.805412
Epoch9                              0.000000                          310.805412
Epoch10                             0.000000                          310.805412
Epoch11                             0.000000                          310.805412
Epoch12                             0.000000                          310.805412
Epoch13                             0.000000                          310.805412
Epoch14                             0.000000                          310.805412
Epoch15                             0.000000                          310.805412
Epoch16                             0.000000                          310.805412
Epoch17                             0.000000                          310.805412
Epoch18                             0.000000                          310.805412
Epoch19                             0.000000                          310.805412
Epoch20                             0.000000                          310.805412
Epoch21                             0.000000                          310.805412
Epoch22                             0.000000                          310.805412
Epoch23                             0.000000                          310.805412
Epoch24                             0.000000                          310.805412
Epoch25                             0.000000                          310.805412
Epoch26                             0.000000                          310.805412
Epoch27                             0.000000                          310.805412
Epoch28                             0.000000                          310.805412
