Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.757832                          310.757832
Epoch1                              0.000000                          310.757832
Epoch2                              0.000000                          310.757832
Epoch3                              0.000000                          310.757832
Epoch4                              0.000000                          310.757832
Epoch5                              0.000000                          310.757832
Epoch6                              0.000000                          310.757832
Epoch7                              0.000000                          310.757832
Epoch8                              0.000000                          310.757832
Epoch9                              0.000000                          310.757832
Epoch10                             0.000000                          310.757832
Epoch11                             0.000000                          310.757832
Epoch12                             0.000000                          310.757832
Epoch13                             0.000000                          310.757832
Epoch14                             0.000000                          310.757832
Epoch15                             0.000000                          310.757832
Epoch16                             0.000000                          310.757832
