Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.858292                          310.858292
Epoch1                              0.000000                          310.858292
Epoch2                              0.000000                          310.858292
Epoch3                              0.000000                          310.858292
Epoch4                              0.000000                          310.858292
Epoch5                              0.000000                          310.858292
Epoch6                              0.000000                          310.858292
Epoch7                              0.000000                          310.858292
Epoch8                              0.000000                          310.858292
Epoch9                              0.000000                          310.858292
Epoch10                             0.000000                          310.858292
Epoch11                             0.000000                          310.858292
Epoch12                             0.000000                          310.858292
Epoch13                             0.000000                          310.858292
Epoch14                             0.000000                          310.858292
Epoch15                             0.000000                          310.858292
Epoch16                             0.000000                          310.858292
Epoch17                             0.000000                          310.858292
Epoch18                             0.000000                          310.858292
Epoch19                             0.000000                          310.858292
Epoch20                             0.000000                          310.858292
Epoch21                             0.000000                          310.858292
Epoch22                             0.000000                          310.858292
Epoch23                             0.000000                          310.858292
Epoch24                             0.000000                          310.858292
Epoch25                             0.000000                          310.858292
Epoch26                             0.000000                          310.858292
Epoch27                             0.000000                          310.858292
Epoch28                             0.000000                          310.858292
