Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.757039                          310.757039
Epoch1                              0.000000                          310.757039
Epoch2                              0.000000                          310.757039
Epoch3                              0.000000                          310.757039
Epoch4                              0.000000                          310.757039
Epoch5                              0.000000                          310.757039
Epoch6                              0.000000                          310.757039
Epoch7                              0.000000                          310.757039
Epoch8                              0.000000                          310.757039
Epoch9                              0.000000                          310.757039
Epoch10                             0.000000                          310.757039
Epoch11                             0.000000                          310.757039
Epoch12                             0.000000                          310.757039
Epoch13                             0.000000                          310.757039
Epoch14                             0.000000                          310.757039
Epoch15                             0.000000                          310.757039
