Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.836258                          310.836258
Epoch1                              0.000000                          310.836258
Epoch2                              0.000000                          310.836258
Epoch3                              0.000000                          310.836258
Epoch4                              0.000000                          310.836258
Epoch5                              0.000000                          310.836258
Epoch6                              0.000000                          310.836258
Epoch7                              0.000000                          310.836258
Epoch8                              0.000000                          310.836258
Epoch9                              0.000000                          310.836258
Epoch10                             0.000000                          310.836258
Epoch11                             0.000000                          310.836258
Epoch12                             0.000000                          310.836258
Epoch13                             0.000000                          310.836258
Epoch14                             0.000000                          310.836258
Epoch15                             0.000000                          310.836258
Epoch16                             0.000000                          310.836258
