Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              7.708683                            7.708683
Epoch5                              0.000000                            7.708683
Epoch6                              0.000000                            7.708683
Epoch7                              0.000000                            7.708683
Epoch8                              0.000000                            7.708683
Epoch9                              0.000000                            7.708683
Epoch10                             0.000000                            7.708683
Epoch11                             0.000000                            7.708683
Epoch12                             0.000000                            7.708683
Epoch13                             0.000000                            7.708683
Epoch14                             0.000000                            7.708683
Epoch15                             0.000000                            7.708683
Epoch16                             0.000000                            7.708683
