Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.767794                          310.767794
Epoch1                              0.000000                          310.767794
Epoch2                              0.000000                          310.767794
Epoch3                              0.000000                          310.767794
Epoch4                              0.000000                          310.767794
Epoch5                              0.000000                          310.767794
Epoch6                              0.000000                          310.767794
Epoch7                              0.000000                          310.767794
Epoch8                              0.000000                          310.767794
Epoch9                              0.000000                          310.767794
Epoch10                             0.000000                          310.767794
Epoch11                             0.000000                          310.767794
Epoch12                             0.000000                          310.767794
Epoch13                             0.000000                          310.767794
Epoch14                             0.000000                          310.767794
