Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                             17.859001                           17.859001
Epoch6                              0.000000                           17.859001
Epoch7                              0.000000                           17.859001
Epoch8                              0.000000                           17.859001
Epoch9                              0.000000                           17.859001
Epoch10                             0.000000                           17.859001
Epoch11                             0.000000                           17.859001
Epoch12                             0.000000                           17.859001
Epoch13                             0.000000                           17.859001
Epoch14                             0.000000                           17.859001
Epoch15                             0.000000                           17.859001
Epoch16                             0.000000                           17.859001
Epoch17                             0.000000                           17.859001
Epoch18                             0.000000                           17.859001
Epoch19                             0.000000                           17.859001
Epoch20                             0.000000                           17.859001
Epoch21                             0.000000                           17.859001
Epoch22                             0.000000                           17.859001
Epoch23                             0.000000                           17.859001
Epoch24                             0.000000                           17.859001
Epoch25                             0.000000                           17.859001
Epoch26                             0.000000                           17.859001
Epoch27                             0.000000                           17.859001
Epoch28                             0.000000                           17.859001
Epoch29                             0.000000                           17.859001
Epoch30                             0.000000                           17.859001
Epoch31                             0.000000                           17.859001
