Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.484885                            0.484885
Epoch2                              0.000000                            0.484885
Epoch3                              0.000000                            0.484885
Epoch4                              0.000000                            0.484885
Epoch5                              0.000000                            0.484885
Epoch6                              0.000000                            0.484885
Epoch7                              0.000000                            0.484885
Epoch8                              0.000000                            0.484885
Epoch9                              0.000000                            0.484885
Epoch10                             0.000000                            0.484885
Epoch11                             0.000000                            0.484885
Epoch12                             0.000000                            0.484885
Epoch13                             0.000000                            0.484885
Epoch14                             0.000000                            0.484885
Epoch15                             0.000000                            0.484885
Epoch16                             0.000000                            0.484885
