Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              7.393766                            7.393766
Epoch3                              0.000000                            7.393766
Epoch4                              0.000000                            7.393766
Epoch5                              0.000000                            7.393766
Epoch6                              0.000000                            7.393766
Epoch7                              0.000000                            7.393766
Epoch8                              0.000000                            7.393766
Epoch9                              0.000000                            7.393766
Epoch10                             0.000000                            7.393766
Epoch11                             0.000000                            7.393766
Epoch12                             0.000000                            7.393766
Epoch13                             0.000000                            7.393766
Epoch14                             0.000000                            7.393766
Epoch15                             0.000000                            7.393766
Epoch16                             0.000000                            7.393766
Epoch17                             0.000000                            7.393766
Epoch18                             0.000000                            7.393766
Epoch19                             0.000000                            7.393766
Epoch20                             0.000000                            7.393766
Epoch21                             0.000000                            7.393766
Epoch22                             0.000000                            7.393766
Epoch23                             0.000000                            7.393766
Epoch24                             0.000000                            7.393766
Epoch25                             0.000000                            7.393766
Epoch26                             0.000000                            7.393766
Epoch27                             0.000000                            7.393766
