Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.833280                          310.833280
Epoch1                              0.000000                          310.833280
Epoch2                              0.000000                          310.833280
Epoch3                              0.000000                          310.833280
Epoch4                              0.000000                          310.833280
Epoch5                              0.000000                          310.833280
Epoch6                              0.000000                          310.833280
Epoch7                              0.000000                          310.833280
Epoch8                              0.000000                          310.833280
Epoch9                              0.000000                          310.833280
Epoch10                             0.000000                          310.833280
Epoch11                             0.000000                          310.833280
Epoch12                             0.000000                          310.833280
Epoch13                             0.000000                          310.833280
Epoch14                             0.000000                          310.833280
Epoch15                             0.000000                          310.833280
Epoch16                             0.000000                          310.833280
Epoch17                             0.000000                          310.833280
Epoch18                             0.000000                          310.833280
Epoch19                             0.000000                          310.833280
Epoch20                             0.000000                          310.833280
Epoch21                             0.000000                          310.833280
Epoch22                             0.000000                          310.833280
Epoch23                             0.000000                          310.833280
Epoch24                             0.000000                          310.833280
Epoch25                             0.000000                          310.833280
Epoch26                             0.000000                          310.833280
Epoch27                             0.000000                          310.833280
Epoch28                             0.000000                          310.833280
Epoch29                             0.000000                          310.833280
