Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.007487                            0.007487
Epoch4                              2.700329                            2.707816
Epoch5                              0.677349                            3.385166
Epoch6                              0.000000                            3.385166
Epoch7                              0.000000                            3.385166
Epoch8                              0.000000                            3.385166
Epoch9                              0.000000                            3.385166
Epoch10                             0.000000                            3.385166
Epoch11                             0.000000                            3.385166
Epoch12                             0.000000                            3.385166
Epoch13                             0.000000                            3.385166
Epoch14                             0.000000                            3.385166
Epoch15                             0.000000                            3.385166
Epoch16                             0.000000                            3.385166
Epoch17                             0.000000                            3.385166
Epoch18                             0.000000                            3.385166
Epoch19                             0.000000                            3.385166
Epoch20                             0.000000                            3.385166
Epoch21                             0.000000                            3.385166
Epoch22                             0.000000                            3.385166
Epoch23                             0.000000                            3.385166
Epoch24                             0.000000                            3.385166
Epoch25                             0.000000                            3.385166
Epoch26                             0.000000                            3.385166
Epoch27                             0.000000                            3.385166
Epoch28                             0.000000                            3.385166
Epoch29                             0.000000                            3.385166
Epoch30                             0.000000                            3.385166
Epoch31                             0.000000                            3.385166
