Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.753195                          310.753195
Epoch1                              0.000000                          310.753195
Epoch2                              0.000000                          310.753195
Epoch3                              0.000000                          310.753195
Epoch4                              0.000000                          310.753195
Epoch5                              0.000000                          310.753195
Epoch6                              0.000000                          310.753195
Epoch7                              0.000000                          310.753195
Epoch8                              0.000000                          310.753195
Epoch9                              0.000000                          310.753195
Epoch10                             0.000000                          310.753195
Epoch11                             0.000000                          310.753195
Epoch12                             0.000000                          310.753195
Epoch13                             0.000000                          310.753195
Epoch14                             0.000000                          310.753195
Epoch15                             0.000000                          310.753195
Epoch16                             0.000000                          310.753195
Epoch17                             0.000000                          310.753195
Epoch18                             0.000000                          310.753195
Epoch19                             0.000000                          310.753195
Epoch20                             0.000000                          310.753195
Epoch21                             0.000000                          310.753195
Epoch22                             0.000000                          310.753195
Epoch23                             0.000000                          310.753195
Epoch24                             0.000000                          310.753195
Epoch25                             0.000000                          310.753195
Epoch26                             0.000000                          310.753195
Epoch27                             0.000000                          310.753195
Epoch28                             0.000000                          310.753195
Epoch29                             0.000000                          310.753195
Epoch30                             0.000000                          310.753195
