Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            441.804966                          441.804966
Epoch1                             45.217401                          487.022367
Epoch2                              0.000000                          487.022367
Epoch3                              0.000000                          487.022367
Epoch4                              0.000000                          487.022367
Epoch5                              0.000000                          487.022367
Epoch6                              0.000000                          487.022367
Epoch7                              0.000000                          487.022367
Epoch8                              0.000000                          487.022367
Epoch9                              0.000000                          487.022367
Epoch10                             0.000000                          487.022367
Epoch11                             0.000000                          487.022367
Epoch12                             0.000000                          487.022367
Epoch13                             0.000000                          487.022367
Epoch14                             0.000000                          487.022367
Epoch15                             0.000000                          487.022367
Epoch16                             0.000000                          487.022367
Epoch17                             0.000000                          487.022367
Epoch18                             0.000000                          487.022367
Epoch19                             0.000000                          487.022367
Epoch20                             0.000000                          487.022367
Epoch21                             0.000000                          487.022367
Epoch22                             0.000000                          487.022367
Epoch23                             0.000000                          487.022367
Epoch24                             0.000000                          487.022367
Epoch25                             0.000000                          487.022367
Epoch26                             0.000000                          487.022367
Epoch27                             0.000000                          487.022367
Epoch28                             0.000000                          487.022367
Epoch29                             0.000000                          487.022367
Epoch30                             0.000000                          487.022367
Epoch31                             0.000000                          487.022367
