Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.789286                          310.789286
Epoch1                              0.000000                          310.789286
Epoch2                              0.000000                          310.789286
Epoch3                              0.000000                          310.789286
Epoch4                              0.000000                          310.789286
Epoch5                              0.000000                          310.789286
Epoch6                              0.000000                          310.789286
Epoch7                              0.000000                          310.789286
Epoch8                              0.000000                          310.789286
Epoch9                              0.000000                          310.789286
Epoch10                             0.000000                          310.789286
Epoch11                             0.000000                          310.789286
Epoch12                             0.000000                          310.789286
Epoch13                             0.000000                          310.789286
Epoch14                             0.000000                          310.789286
Epoch15                             0.000000                          310.789286
Epoch16                             0.000000                          310.789286
Epoch17                             0.000000                          310.789286
Epoch18                             0.000000                          310.789286
Epoch19                             0.000000                          310.789286
Epoch20                             0.000000                          310.789286
Epoch21                             0.000000                          310.789286
Epoch22                             0.000000                          310.789286
Epoch23                             0.000000                          310.789286
Epoch24                             0.000000                          310.789286
Epoch25                             0.000000                          310.789286
Epoch26                             0.000000                          310.789286
Epoch27                             0.000000                          310.789286
Epoch28                             0.000000                          310.789286
