Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.750000                          310.750000
Epoch1                              0.000000                          310.750000
Epoch2                              0.000000                          310.750000
Epoch3                              0.000000                          310.750000
Epoch4                              0.000000                          310.750000
Epoch5                              0.000000                          310.750000
Epoch6                              0.000000                          310.750000
Epoch7                              0.000000                          310.750000
Epoch8                              0.058917                          310.808917
Epoch9                              0.000000                          310.808917
Epoch10                             0.000000                          310.808917
Epoch11                             0.000000                          310.808917
Epoch12                             0.000000                          310.808917
Epoch13                             0.000000                          310.808917
Epoch14                             0.000000                          310.808917
Epoch15                             0.000000                          310.808917
