Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                            485.502839                          485.502839
Epoch3                              0.000000                          485.502839
Epoch4                              0.000000                          485.502839
Epoch5                              0.000000                          485.502839
Epoch6                              0.000000                          485.502839
Epoch7                              0.000000                          485.502839
Epoch8                              0.000000                          485.502839
Epoch9                              0.000000                          485.502839
Epoch10                             0.000000                          485.502839
Epoch11                             0.000000                          485.502839
Epoch12                             0.000000                          485.502839
Epoch13                             0.000000                          485.502839
Epoch14                             0.000000                          485.502839
Epoch15                             0.000000                          485.502839
Epoch16                             0.000000                          485.502839
Epoch17                             0.000000                          485.502839
Epoch18                             0.000000                          485.502839
Epoch19                             0.000000                          485.502839
Epoch20                             0.000000                          485.502839
Epoch21                             0.000000                          485.502839
Epoch22                             0.000000                          485.502839
Epoch23                             0.000000                          485.502839
Epoch24                             0.000000                          485.502839
Epoch25                             0.000000                          485.502839
Epoch26                             0.000000                          485.502839
Epoch27                             0.000000                          485.502839
Epoch28                             0.000000                          485.502839
Epoch29                             0.000000                          485.502839
Epoch30                             0.000000                          485.502839
