Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                            298.975548                          298.975548
Epoch9                              0.000000                          298.975548
Epoch10                             0.000000                          298.975548
Epoch11                             0.000000                          298.975548
Epoch12                             0.000000                          298.975548
Epoch13                             0.000000                          298.975548
Epoch14                             0.000000                          298.975548
Epoch15                             0.000000                          298.975548
