Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.004670                            0.004670
Epoch1                              0.000000                            0.004670
Epoch2                              0.000000                            0.004670
Epoch3                              0.000000                            0.004670
Epoch4                              0.000000                            0.004670
Epoch5                              0.000000                            0.004670
Epoch6                              0.000000                            0.004670
Epoch7                              0.000000                            0.004670
Epoch8                              0.000000                            0.004670
Epoch9                              0.000000                            0.004670
Epoch10                             0.000000                            0.004670
Epoch11                             0.000000                            0.004670
Epoch12                             0.000000                            0.004670
Epoch13                             0.000000                            0.004670
Epoch14                             0.000000                            0.004670
