Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              1.475806                            1.475806
Epoch5                              0.000000                            1.475806
Epoch6                              0.000000                            1.475806
Epoch7                              0.000000                            1.475806
Epoch8                              0.000000                            1.475806
Epoch9                              0.000000                            1.475806
Epoch10                             0.000000                            1.475806
Epoch11                             0.000000                            1.475806
Epoch12                             0.000000                            1.475806
Epoch13                             0.000000                            1.475806
Epoch14                             0.000000                            1.475806
