Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.008093                            0.008093
Epoch2                              0.085538                            0.093631
Epoch3                              0.000000                            0.093631
Epoch4                              0.000000                            0.093631
Epoch5                              0.000000                            0.093631
Epoch6                              0.000000                            0.093631
Epoch7                              0.000000                            0.093631
Epoch8                              0.000000                            0.093631
Epoch9                              0.000000                            0.093631
Epoch10                             0.000000                            0.093631
Epoch11                             0.000000                            0.093631
Epoch12                             0.000000                            0.093631
Epoch13                             0.000000                            0.093631
Epoch14                             0.000000                            0.093631
Epoch15                             0.000000                            0.093631
Epoch16                             0.000000                            0.093631
Epoch17                             0.000000                            0.093631
Epoch18                             0.000000                            0.093631
Epoch19                             0.000000                            0.093631
Epoch20                             0.000000                            0.093631
Epoch21                             0.000000                            0.093631
Epoch22                             0.000000                            0.093631
Epoch23                             0.000000                            0.093631
Epoch24                             0.000000                            0.093631
Epoch25                             0.000000                            0.093631
Epoch26                             0.000000                            0.093631
Epoch27                             0.000000                            0.093631
Epoch28                             0.000000                            0.093631
Epoch29                             0.000000                            0.093631
Epoch30                             0.000000                            0.093631
