Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.788424                          310.788424
Epoch1                              0.000000                          310.788424
Epoch2                              0.000000                          310.788424
Epoch3                              0.000000                          310.788424
Epoch4                              0.000000                          310.788424
Epoch5                              0.000000                          310.788424
Epoch6                              0.000000                          310.788424
Epoch7                              0.000000                          310.788424
Epoch8                              0.000000                          310.788424
Epoch9                              0.000000                          310.788424
Epoch10                             0.000000                          310.788424
Epoch11                             0.000000                          310.788424
Epoch12                             0.000000                          310.788424
Epoch13                             0.000000                          310.788424
Epoch14                             0.000000                          310.788424
Epoch15                             0.000000                          310.788424
Epoch16                             0.000000                          310.788424
Epoch17                             0.000000                          310.788424
Epoch18                             0.000000                          310.788424
Epoch19                             0.000000                          310.788424
Epoch20                             0.000000                          310.788424
Epoch21                             0.000000                          310.788424
Epoch22                             0.000000                          310.788424
Epoch23                             0.000000                          310.788424
Epoch24                             0.000000                          310.788424
Epoch25                             0.000000                          310.788424
Epoch26                             0.000000                          310.788424
Epoch27                             0.000000                          310.788424
