Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            311.044241                          311.044241
Epoch1                              0.000000                          311.044241
Epoch2                              0.000000                          311.044241
Epoch3                              0.000000                          311.044241
Epoch4                              0.000000                          311.044241
Epoch5                              0.000000                          311.044241
Epoch6                              0.000000                          311.044241
Epoch7                              0.000000                          311.044241
Epoch8                              0.000000                          311.044241
Epoch9                              0.000000                          311.044241
Epoch10                             0.000000                          311.044241
Epoch11                             0.000000                          311.044241
Epoch12                             0.000000                          311.044241
Epoch13                             0.000000                          311.044241
Epoch14                             0.000000                          311.044241
Epoch15                             0.000000                          311.044241
Epoch16                             0.000000                          311.044241
Epoch17                             0.000000                          311.044241
