Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.855723                          310.855723
Epoch1                              0.000000                          310.855723
Epoch2                              0.000000                          310.855723
Epoch3                              0.000000                          310.855723
Epoch4                              0.000000                          310.855723
Epoch5                              0.000000                          310.855723
Epoch6                              0.000000                          310.855723
Epoch7                              0.000000                          310.855723
Epoch8                              0.000000                          310.855723
Epoch9                              0.000000                          310.855723
Epoch10                             0.000000                          310.855723
Epoch11                             0.000000                          310.855723
Epoch12                             0.000000                          310.855723
Epoch13                             0.000000                          310.855723
Epoch14                             0.000000                          310.855723
Epoch15                             0.000000                          310.855723
Epoch16                             0.000000                          310.855723
Epoch17                             0.000000                          310.855723
Epoch18                             0.000000                          310.855723
Epoch19                             0.000000                          310.855723
Epoch20                             0.000000                          310.855723
Epoch21                             0.000000                          310.855723
Epoch22                             0.000000                          310.855723
Epoch23                             0.000000                          310.855723
Epoch24                             0.000000                          310.855723
Epoch25                             0.000000                          310.855723
Epoch26                             0.000000                          310.855723
Epoch27                             0.000000                          310.855723
Epoch28                             0.000000                          310.855723
Epoch29                             0.000000                          310.855723
Epoch30                             0.000000                          310.855723
Epoch31                             0.000000                          310.855723
