Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.126772                            0.126772
Epoch4                              0.000000                            0.126772
Epoch5                              0.000000                            0.126772
Epoch6                              0.000000                            0.126772
Epoch7                              0.000000                            0.126772
Epoch8                              0.000000                            0.126772
Epoch9                              0.000000                            0.126772
Epoch10                             0.000000                            0.126772
Epoch11                             0.000000                            0.126772
Epoch12                             0.000000                            0.126772
Epoch13                             0.000000                            0.126772
Epoch14                             0.000000                            0.126772
Epoch15                             0.000000                            0.126772
Epoch16                             0.000000                            0.126772
