Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.783045                          310.783045
Epoch1                              0.000000                          310.783045
Epoch2                              0.000000                          310.783045
Epoch3                              0.000000                          310.783045
Epoch4                              0.000000                          310.783045
Epoch5                              0.000000                          310.783045
Epoch6                              0.000000                          310.783045
Epoch7                              0.000000                          310.783045
Epoch8                              0.000000                          310.783045
Epoch9                              0.000000                          310.783045
Epoch10                             0.000000                          310.783045
Epoch11                             0.000000                          310.783045
Epoch12                             0.000000                          310.783045
Epoch13                             0.000000                          310.783045
Epoch14                             0.000000                          310.783045
Epoch15                             0.000000                          310.783045
Epoch16                             0.000000                          310.783045
Epoch17                             0.000000                          310.783045
Epoch18                             0.000000                          310.783045
Epoch19                             0.000000                          310.783045
Epoch20                             0.000000                          310.783045
Epoch21                             0.000000                          310.783045
Epoch22                             0.000000                          310.783045
Epoch23                             0.000000                          310.783045
Epoch24                             0.000000                          310.783045
Epoch25                             0.000000                          310.783045
Epoch26                             0.000000                          310.783045
Epoch27                             0.000000                          310.783045
Epoch28                             0.000000                          310.783045
Epoch29                             0.000000                          310.783045
