Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                            670.767545                          670.767545
Epoch3                              0.000000                          670.767545
Epoch4                              0.000000                          670.767545
Epoch5                              0.000000                          670.767545
Epoch6                              0.000000                          670.767545
Epoch7                              0.000000                          670.767545
Epoch8                              0.000000                          670.767545
Epoch9                              0.000000                          670.767545
Epoch10                             0.000000                          670.767545
Epoch11                             0.000000                          670.767545
Epoch12                             0.000000                          670.767545
Epoch13                             0.000000                          670.767545
Epoch14                             0.000000                          670.767545
Epoch15                             0.000000                          670.767545
Epoch16                             0.000000                          670.767545
Epoch17                             0.000000                          670.767545
Epoch18                             0.000000                          670.767545
Epoch19                             0.000000                          670.767545
Epoch20                             0.000000                          670.767545
Epoch21                             0.000000                          670.767545
Epoch22                             0.000000                          670.767545
Epoch23                             0.000000                          670.767545
Epoch24                             0.000000                          670.767545
Epoch25                             0.000000                          670.767545
Epoch26                             0.000000                          670.767545
Epoch27                             0.000000                          670.767545
Epoch28                             0.000000                          670.767545
Epoch29                             0.000000                          670.767545
Epoch30                             0.000000                          670.767545
