Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                            321.207742                          321.207742
Epoch3                              0.000000                          321.207742
Epoch4                              0.000000                          321.207742
Epoch5                              0.000000                          321.207742
Epoch6                              0.000000                          321.207742
Epoch7                              0.000000                          321.207742
Epoch8                              0.000000                          321.207742
Epoch9                              0.000000                          321.207742
Epoch10                             0.000000                          321.207742
Epoch11                             0.000000                          321.207742
Epoch12                             0.000000                          321.207742
Epoch13                             0.000000                          321.207742
Epoch14                             0.000000                          321.207742
Epoch15                             0.000000                          321.207742
Epoch16                             0.000000                          321.207742
Epoch17                             0.000000                          321.207742
Epoch18                             0.000000                          321.207742
Epoch19                             0.000000                          321.207742
Epoch20                             0.000000                          321.207742
Epoch21                             0.000000                          321.207742
Epoch22                             0.000000                          321.207742
Epoch23                             0.000000                          321.207742
Epoch24                             0.000000                          321.207742
Epoch25                             0.000000                          321.207742
Epoch26                             0.000000                          321.207742
Epoch27                             0.000000                          321.207742
Epoch28                             0.000000                          321.207742
Epoch29                             0.000000                          321.207742
Epoch30                             0.000000                          321.207742
