Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             1.543398                            1.543398
Epoch13                             0.000000                            1.543398
Epoch14                             0.000000                            1.543398
Epoch15                             0.000000                            1.543398
Epoch16                             0.000000                            1.543398
Epoch17                             0.000000                            1.543398
Epoch18                             0.000000                            1.543398
Epoch19                             0.000000                            1.543398
Epoch20                             0.000000                            1.543398
Epoch21                             0.000000                            1.543398
Epoch22                             0.000000                            1.543398
Epoch23                             0.000000                            1.543398
Epoch24                             0.000000                            1.543398
Epoch25                             0.000000                            1.543398
Epoch26                             0.000000                            1.543398
Epoch27                             0.000000                            1.543398
Epoch28                             0.000000                            1.543398
Epoch29                             0.000000                            1.543398
Epoch30                             0.000000                            1.543398
