Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                             14.948584                           14.948584
Epoch10                             0.000000                           14.948584
Epoch11                             0.000000                           14.948584
Epoch12                             0.000000                           14.948584
Epoch13                             0.000000                           14.948584
Epoch14                             0.000000                           14.948584
